route,total_value,trips
South Korea/Vietnam/Sea,6877007000,497
USA/Netherlands/Sea,1032187000,436
Netherlands/Belgium/Road,3230094000,374
China/Mexico/Air,12250000000,330
Japan/Brazil/Sea,3368155000,306
Germany/France/Road,2902214000,299
South Korea/Japan/Sea,4741000000,294
Germany/China/Sea,2618000000,282
Australia/Singapore/Sea,493000000,273
Singapore/Thailand/Sea,4017000000,273
Canada/Mexico/Rail,8450000000,261
China/Spain/Air,1862000000,250
Mexico/New Zealand/Sea,9382000,249
China/Japan/Air,4018000000,238
United Kingdom/Belgium/Sea,815169000,229
Germany/Mexico/Sea,1806480000,222
India/United Arab Emirates/Sea,1037000000,214
USA/Belgium/Sea,2371000000,211
Japan/Mexico/Sea,3918000000,206
China/Rusia/Rail,989046000,204
Japan/Canada/Air,511000,203
Australia/Thailand/Sea,337000000,200
Mexico/USA/Rail,2645342000,199
Japan/China/Sea,2550000000,196
Brazil/China/Sea,799000000,195
Malaysia/Thailand/Rail,3482000000,195
Germany/USA/Sea,793780000,193
Netherlands/France/Road,739028000,185
India/China/Rail,761000000,183
Japan/Mexico/Air,1911000000,179
USA/Mexico/Rail,4370000000,178
United Kingdom/Spain/Sea,1378025000,176
France/Germany/Road,2226018000,170
Russia/Belorussia/Rail,2793000000,170
South Korea/Mexico/Sea,1509035000,162
France/United Kingdom/Sea,5427000000,147
Belgium/United Kingdom/Road,1632000000,146
China/Thailand/Road,2786000000,145
China/South Korea/Rail,4535000000,144
China/Argentina/Air,1236000000,143
Spain/Germany/Road,2044000000,142
USA/United Arab Emirates/Sea,119000,142
China/Germany/Air,4090000000,142
USA/Argentina/Sea,3159000000,139
United Kingdom/Ireland/Sea,584123000,137
Mexico/Japan/Sea,1535000000,135
Russia/China/Road,2310000000,130
Japan/USA/Air,1965040000,123
United Kingdom/USA/Sea,111000,122
Russia/Germany/Sea,2042000000,120
France/Belgium/Rail,1281069000,118
France/Spain/Road,1455058000,116
China/United Arab Emirates/Sea,3357000000,114
Australia/Philippines/Sea,344000000,114
Canada/USA/Rail,640000000,114
Australia/United Kingdom/Sea,220000000,113
Australia/Brazil/Sea,172000000,112
China/USA/Air,3797000000,111
USA/Canada/Road,2000000000,110
Russia/Netherlands/Sea,1959000000,110
Italy/Germany/Rail,1415088000,109
USA/Thailand/Sea,1568000000,109
Brazil/Mexico/Sea,689000000,108
USA/Canada/Rail,760000000,107
United Kingdom/France/Sea,107000,107
Mexico/Singapore/Sea,5082000,106
Singapore/USA/Sea,251000,106
China/Japan/Sea,1873000000,105
France/Belgium/Road,4257000000,105
Canada/China/Sea,693000000,103
France/USA/Sea,3402000000,103
Mexico/Canada/Sea,454949000,102
Australia/Japan/Sea,920000000,102
United Kingdom/Italy/Sea,77000,100
Mexico/China/Sea,590000000,100
Austria/Switzerland/Rail,252000,99
Spain/Russia/Sea,1085000000,99
Austria/Italy/Rail,252000,98
India/USA/Sea,474000000,95
China/Belgium/Air,524000000,95
Austria/Slovakia/Rail,258000,94
South Korea/China/Sea,1704000000,94
Germany/Canada/Sea,25178000,93
South Korea/Brazil/Sea,104000,91
Singapore/Malaysia/Sea,218000,89
France/Canada/Sea,75000,86
Germany/Brazil/Air,3265000,85
Canada/Japan/Sea,532000000,83
France/Poland/Rail,1030000000,83
Mexico/Brazil/Sea,147433000,81
Russia/Turkey/Road,1446000000,80
Germany/South Korea/Sea,495000000,78
Brazil/Netherlands/Sea,462000000,78
South Korea/USA/Sea,1228000000,77
Japan/United Arab Emirates/Sea,2238000000,76
Germany/Italy/Rail,2571000000,76
Italy/Spain/Rail,871108000,75
USA/Singapore/Sea,1599000000,75
Italy/Switzerland/Rail,643094000,74
Switzerland/Russia/Rail,650000000,73
France/China/Sea,54000,72
Switzerland/Germany/Road,628000000,71
Japan/Canada/Sea,278000000,70
Japan/Russia/Sea,159000,68
Germany/South Korea/Air,407668000,66
Austria/Germany/Rail,188000,66
Russia/India/Sea,1349000000,65
Netherlands/Belgium/Rail,48000,62
China/Brazil/Air,785000000,60
Switzerland/France/Road,510000000,60
Mexico/Austria/Sea,1894000,59
United Kingdom/Canada/Sea,248000000,58
Italy/Poland/Rail,588000000,58
Italy/USA/Sea,107000,58
USA/India/Sea,1133000000,57
Japan/Thailand/Sea,847000000,55
China/Thailand/Rail,1045000000,55
USA/Brazil/Sea,1388000000,55
China/Singapore/Sea,1267000000,55
